,PROVINCIA
0,Arica
2,Parinacota
4,Iquique
6,Tamarugal
11,Antofagasta
15,El Loa
18,Tocopilla
20,Copiapo
23,Chanaral
25,Huasco
29,Elqui
35,Choapa
39,Limari
44,Valparaiso
52,Los Andes
56,Petorca
61,Quillota
66,San Antonio
72,San Felipe de Aconcagua
78,Marga Marga
82,Santiago
114,Cordillera
117,Chacabuco
120,Maipo
124,Melipilla
129,Talagante
134,Cachapoal
151,Cardenal Caro
157,Colchagua
167,Talca
177,Cauquenes
180,Curico
189,Linares
197,Diguillin
206,Itata
213,Punilla
218,Concepcion
230,Arauco
237,Biobio
251,Cautin
272,Malleco
283,Valdivia
291,Ranco
295,Llanquihue
304,Chiloe
314,Osorno
321,Palena
325,Coihaique
327,Aisen
330,Capitan Prat
333,General Carrera
335,Magallanes
339,Antartica Chilena
340,Tierra del Fuego
343,Ultima Esperanza
